0.433539  -2.490043    -0.249141    -0.000003  0.057419  -0.572763  -0.000014  
0.439823  -2.489679    -0.252739    -0.000003  0.058248  -0.572679  -0.000014  
0.446106  -2.489311    -0.256337    -0.000003  0.059077  -0.572595  -0.000014  
0.452389  -2.488937    -0.259935    -0.000003  0.059906  -0.572509  -0.000015  
0.458672  -2.488558    -0.263532    -0.000003  0.060735  -0.572422  -0.000015  
0.464955  -2.488174    -0.267128    -0.000003  0.061564  -0.572334  -0.000015  
0.471239  -2.487784    -0.270724    -0.000004  0.062392  -0.572245  -0.000015  
0.477522  -2.487390    -0.274319    -0.000004  0.063221  -0.572154  -0.000016  
0.483805  -2.486990    -0.277914    -0.000004  0.064049  -0.572062  -0.000016  
0.490088  -2.486585    -0.281508    -0.000004  0.064877  -0.571969  -0.000016  
0.496371  -2.486175    -0.285101    -0.000004  0.065705  -0.571875  -0.000016  
0.502654  -2.485759    -0.288694    -0.000004  0.066533  -0.571780  -0.000016  
0.508938  -2.485339    -0.292286    -0.000004  0.067361  -0.571684  -0.000017  
0.515221  -2.484913    -0.295878    -0.000004  0.068189  -0.571586  -0.000017  
0.521504  -2.484482    -0.299469    -0.000004  0.069016  -0.571487  -0.000017  
0.527787  -2.484045    -0.303060    -0.000004  0.069844  -0.571387  -0.000017  
0.534070  -2.483604    -0.306649    -0.000005  0.070671  -0.571286  -0.000017  
0.540353  -2.483157    -0.310239    -0.000005  0.071498  -0.571183  -0.000018  
0.546637  -2.482705    -0.313827    -0.000005  0.072325  -0.571080  -0.000018  
0.552920  -2.482248    -0.317415    -0.000005  0.073152  -0.570975  -0.000018  
0.559203  -2.481786    -0.321002    -0.000005  0.073978  -0.570869  -0.000018  
0.565486  -2.481319    -0.324589    -0.000005  0.074805  -0.570761  -0.000019  
0.571769  -2.480846    -0.328174    -0.000005  0.075631  -0.570653  -0.000019  
0.578053  -2.480368    -0.331760    -0.000005  0.076457  -0.570543  -0.000019  
0.584336  -2.479885    -0.335344    -0.000006  0.077283  -0.570433  -0.000019  
0.590619  -2.479397    -0.338928    -0.000006  0.078109  -0.570321  -0.000019  
0.596902  -2.478904    -0.342511    -0.000006  0.078934  -0.570207  -0.000020  
0.603185  -2.478405    -0.346093    -0.000006  0.079760  -0.570093  -0.000020  
0.609468  -2.477902    -0.349675    -0.000006  0.080585  -0.569977  -0.000020  
0.615752  -2.477393    -0.353256    -0.000006  0.081410  -0.569861  -0.000020  
0.622035  -2.476879    -0.356836    -0.000006  0.082235  -0.569743  -0.000020  
0.628318  -2.476359    -0.360415    -0.000006  0.083060  -0.569623  -0.000021  
0.634601  -2.475835    -0.363994    -0.000007  0.083885  -0.569503  -0.000021  
